                                                                                  Qwen3_5MoeForCausalLM
model                                                                             Qwen3_5MoeTextModel
model.embed_tokens                                                                Embedding
model.layers                                                                      ModuleList
model.layers.0                                                                    Qwen3_5MoeDecoderLayer
model.layers.0.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.0.linear_attn.act                                                    SiLUActivation
model.layers.0.linear_attn.conv1d                                                 Conv1d
model.layers.0.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.0.linear_attn.out_proj                                               Linear
model.layers.0.linear_attn.in_proj_qkv                                            Linear
model.layers.0.linear_attn.in_proj_z                                              Linear
model.layers.0.linear_attn.in_proj_b                                              Linear
model.layers.0.linear_attn.in_proj_a                                              Linear
model.layers.0.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.0.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.0.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.0.mlp.experts.act_fn                                                 SiLUActivation
model.layers.0.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.0.mlp.shared_expert.gate_proj                                        Linear
model.layers.0.mlp.shared_expert.up_proj                                          Linear
model.layers.0.mlp.shared_expert.down_proj                                        Linear
model.layers.0.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.0.mlp.shared_expert_gate                                             Linear
model.layers.0.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.0.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.1                                                                    Qwen3_5MoeDecoderLayer
model.layers.1.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.1.linear_attn.act                                                    SiLUActivation
model.layers.1.linear_attn.conv1d                                                 Conv1d
model.layers.1.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.1.linear_attn.out_proj                                               Linear
model.layers.1.linear_attn.in_proj_qkv                                            Linear
model.layers.1.linear_attn.in_proj_z                                              Linear
model.layers.1.linear_attn.in_proj_b                                              Linear
model.layers.1.linear_attn.in_proj_a                                              Linear
model.layers.1.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.1.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.1.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.1.mlp.experts.act_fn                                                 SiLUActivation
model.layers.1.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.1.mlp.shared_expert.gate_proj                                        Linear
model.layers.1.mlp.shared_expert.up_proj                                          Linear
model.layers.1.mlp.shared_expert.down_proj                                        Linear
model.layers.1.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.1.mlp.shared_expert_gate                                             Linear
model.layers.1.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.1.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.2                                                                    Qwen3_5MoeDecoderLayer
model.layers.2.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.2.linear_attn.act                                                    SiLUActivation
model.layers.2.linear_attn.conv1d                                                 Conv1d
model.layers.2.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.2.linear_attn.out_proj                                               Linear
model.layers.2.linear_attn.in_proj_qkv                                            Linear
model.layers.2.linear_attn.in_proj_z                                              Linear
model.layers.2.linear_attn.in_proj_b                                              Linear
model.layers.2.linear_attn.in_proj_a                                              Linear
model.layers.2.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.2.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.2.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.2.mlp.experts.act_fn                                                 SiLUActivation
model.layers.2.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.2.mlp.shared_expert.gate_proj                                        Linear
model.layers.2.mlp.shared_expert.up_proj                                          Linear
model.layers.2.mlp.shared_expert.down_proj                                        Linear
model.layers.2.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.2.mlp.shared_expert_gate                                             Linear
model.layers.2.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.2.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.3                                                                    Qwen3_5MoeDecoderLayer
model.layers.3.self_attn                                                          Qwen3_5MoeAttention
model.layers.3.self_attn.q_proj                                                   Linear
model.layers.3.self_attn.k_proj                                                   Linear
model.layers.3.self_attn.v_proj                                                   Linear
model.layers.3.self_attn.o_proj                                                   Linear
model.layers.3.self_attn.q_norm                                                   Qwen3_5MoeRMSNorm
model.layers.3.self_attn.k_norm                                                   Qwen3_5MoeRMSNorm
model.layers.3.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.3.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.3.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.3.mlp.experts.act_fn                                                 SiLUActivation
model.layers.3.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.3.mlp.shared_expert.gate_proj                                        Linear
model.layers.3.mlp.shared_expert.up_proj                                          Linear
model.layers.3.mlp.shared_expert.down_proj                                        Linear
model.layers.3.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.3.mlp.shared_expert_gate                                             Linear
model.layers.3.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.3.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.4                                                                    Qwen3_5MoeDecoderLayer
model.layers.4.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.4.linear_attn.act                                                    SiLUActivation
model.layers.4.linear_attn.conv1d                                                 Conv1d
model.layers.4.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.4.linear_attn.out_proj                                               Linear
model.layers.4.linear_attn.in_proj_qkv                                            Linear
model.layers.4.linear_attn.in_proj_z                                              Linear
model.layers.4.linear_attn.in_proj_b                                              Linear
model.layers.4.linear_attn.in_proj_a                                              Linear
model.layers.4.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.4.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.4.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.4.mlp.experts.act_fn                                                 SiLUActivation
model.layers.4.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.4.mlp.shared_expert.gate_proj                                        Linear
model.layers.4.mlp.shared_expert.up_proj                                          Linear
model.layers.4.mlp.shared_expert.down_proj                                        Linear
model.layers.4.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.4.mlp.shared_expert_gate                                             Linear
model.layers.4.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.4.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.5                                                                    Qwen3_5MoeDecoderLayer
model.layers.5.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.5.linear_attn.act                                                    SiLUActivation
model.layers.5.linear_attn.conv1d                                                 Conv1d
model.layers.5.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.5.linear_attn.out_proj                                               Linear
model.layers.5.linear_attn.in_proj_qkv                                            Linear
model.layers.5.linear_attn.in_proj_z                                              Linear
model.layers.5.linear_attn.in_proj_b                                              Linear
model.layers.5.linear_attn.in_proj_a                                              Linear
model.layers.5.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.5.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.5.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.5.mlp.experts.act_fn                                                 SiLUActivation
model.layers.5.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.5.mlp.shared_expert.gate_proj                                        Linear
model.layers.5.mlp.shared_expert.up_proj                                          Linear
model.layers.5.mlp.shared_expert.down_proj                                        Linear
model.layers.5.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.5.mlp.shared_expert_gate                                             Linear
model.layers.5.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.5.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.6                                                                    Qwen3_5MoeDecoderLayer
model.layers.6.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.6.linear_attn.act                                                    SiLUActivation
model.layers.6.linear_attn.conv1d                                                 Conv1d
model.layers.6.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.6.linear_attn.out_proj                                               Linear
model.layers.6.linear_attn.in_proj_qkv                                            Linear
model.layers.6.linear_attn.in_proj_z                                              Linear
model.layers.6.linear_attn.in_proj_b                                              Linear
model.layers.6.linear_attn.in_proj_a                                              Linear
model.layers.6.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.6.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.6.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.6.mlp.experts.act_fn                                                 SiLUActivation
model.layers.6.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.6.mlp.shared_expert.gate_proj                                        Linear
model.layers.6.mlp.shared_expert.up_proj                                          Linear
model.layers.6.mlp.shared_expert.down_proj                                        Linear
model.layers.6.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.6.mlp.shared_expert_gate                                             Linear
model.layers.6.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.6.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.7                                                                    Qwen3_5MoeDecoderLayer
model.layers.7.self_attn                                                          Qwen3_5MoeAttention
model.layers.7.self_attn.q_proj                                                   Linear
model.layers.7.self_attn.k_proj                                                   Linear
model.layers.7.self_attn.v_proj                                                   Linear
model.layers.7.self_attn.o_proj                                                   Linear
model.layers.7.self_attn.q_norm                                                   Qwen3_5MoeRMSNorm
model.layers.7.self_attn.k_norm                                                   Qwen3_5MoeRMSNorm
model.layers.7.mlp                                                                Qwen3_5MoeSparseMoeBlock
model.layers.7.mlp.gate                                                           Qwen3_5MoeTopKRouter
model.layers.7.mlp.experts                                                        Qwen3_5MoeExperts
model.layers.7.mlp.experts.act_fn                                                 SiLUActivation
model.layers.7.mlp.shared_expert                                                  Qwen3_5MoeMLP
model.layers.7.mlp.shared_expert.gate_proj                                        Linear
model.layers.7.mlp.shared_expert.up_proj                                          Linear
model.layers.7.mlp.shared_expert.down_proj                                        Linear
model.layers.7.mlp.shared_expert.act_fn                                           SiLUActivation
model.layers.7.mlp.shared_expert_gate                                             Linear
model.layers.7.input_layernorm                                                    Qwen3_5MoeRMSNorm
model.layers.7.post_attention_layernorm                                           Qwen3_5MoeRMSNorm
model.layers.8                                                                    Qwen3_5MoeDecoderLayer
model.layers.8.linear_attn                                                        Qwen3_5MoeGatedDeltaNet
model.layers.8.linear_attn.act                                                    SiLUActivation
model.layers.8.linear_attn.conv1d                                                 Conv1d
model.layers.8.linear_attn.norm                                                   Qwen3_5MoeRMSNormGated
model.layers.8.linear_attn.out_proj                                               Linear
model.layers.8.linear_attn.in_proj_qkv                                            Linear
model.layers.8.linear_attn.in_proj_z                                              Linear
model.layers.8.linear_attn.in_proj_b                                              Linear
model.layers.8.linear_attn.in_proj_a                                              Linear
